LambLife starting: 30x30 grid, seed=1, ticks=200
tick=87 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=53398.3 energy=4141.3/52905.1 size=28.7/499 age=81.8/87 gen=4
tick=88 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50606.5 energy=4197.5/53377.8 size=28.7/499 age=82.8/88 gen=4
tick=89 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=52248.2 energy=4255.6/54436.5 size=28.7/499 age=83.8/89 gen=4
tick=90 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=39699.2 energy=4299.7/54898.5 size=28.7/499 age=84.8/90 gen=4
tick=91 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=49008.9 energy=4354.2/55372.2 size=28.7/499 age=85.8/91 gen=4
tick=92 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=55900.3 energy=4416.3/55846.9 size=28.7/499 age=86.8/92 gen=4
tick=93 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=45172.9 energy=4466.5/56322.6 size=28.7/499 age=87.8/93 gen=4
tick=94 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=49371.7 energy=4526.4/56797.3 size=28.7/499 age=88.8/94 gen=4
tick=95 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=50606.1 energy=4577.6/57857.0 size=28.7/499 age=89.7/95 gen=4
tick=96 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=44285.0 energy=4626.8/58914.7 size=28.7/499 age=90.7/96 gen=4
tick=97 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=49905.3 energy=4682.2/58811.1 size=28.7/499 age=91.7/97 gen=4
tick=98 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50535.6 energy=4738.4/59871.8 size=28.7/499 age=92.7/98 gen=4
tick=99 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=49186.8 energy=4793.0/60931.5 size=28.7/499 age=93.7/99 gen=4
tick=100 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=47140.9 energy=4845.4/61992.2 size=28.7/499 age=94.7/100 gen=4
tick=101 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50738.4 energy=4901.8/61887.6 size=28.7/499 age=95.7/101 gen=4
tick=102 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=49962.6 energy=4957.3/62362.3 size=28.7/499 age=96.7/102 gen=4
tick=103 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50635.3 energy=5013.5/62258.7 size=28.7/499 age=97.7/103 gen=4
tick=104 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=39260.5 energy=5057.2/62721.7 size=28.7/499 age=98.7/104 gen=4
tick=105 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=52407.6 energy=5115.4/63781.4 size=28.7/499 age=99.7/105 gen=4
tick=106 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=51788.7 energy=5172.9/64258.1 size=28.7/499 age=100.7/106 gen=4
tick=107 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50233.2 energy=5228.8/64721.1 size=28.7/499 age=101.7/107 gen=4
tick=108 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=53274.4 energy=5288.0/64616.5 size=28.7/499 age=102.7/108 gen=4
tick=109 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50658.8 energy=5344.2/65676.2 size=28.7/499 age=103.7/109 gen=4
