tick,child_lineage,parent_lineage,generation,expr_hash,birth_kind
2,782,,0,cb3976286ea16de4,novel
2,783,258,1,f3e2fe88603005e5,reproduction
2,784,,0,778c93a8b040cf3f,novel
2,785,451,2,778c93a8b040cf3f,reproduction
2,786,396,2,96a3077112654985,reproduction
2,787,,0,035cc492200bfdec,novel
2,788,,0,778c93a8b040cf3f,novel
2,789,421,1,4d3be084d3467d01,reproduction
2,790,496,1,778c93a8b040cf3f,reproduction
2,791,,0,760618121fdcb8fa,novel
2,792,,0,da929c66eb3e88c1,novel
2,793,,0,778c93a8b040cf3f,novel
2,794,,0,50116f0640fbdcbc,novel
2,795,217,1,778c93a8b040cf3f,reproduction
2,796,,0,5b9e61c338ef2998,novel
2,797,,0,778c93a8b040cf3f,novel
2,798,,0,40c0c668478ecf90,novel
2,799,,0,da929c66eb3e88c1,novel
2,800,,0,2f23d449bc52b2a4,novel
2,801,,0,ff49a47323882f7e,novel
2,802,,0,4d3be084d3467d01,novel
2,803,,0,4d3be084d3467d01,novel
2,804,,0,fa6f416b45512107,novel
2,805,,0,051513dba04e4073,novel
2,806,,0,778c93a8b040cf3f,novel
2,807,,0,778c93a8b040cf3f,novel
2,808,355,1,9939da0ed2cda3c7,reproduction
2,809,,0,e3a8bf4194af01d3,novel
2,810,,0,02667f551d1590f4,novel
2,811,,0,778c93a8b040cf3f,novel
2,812,109,1,82b3dcb707aae47f,reproduction
2,813,,0,5bcd0f366a84effd,novel
2,814,,0,c16c8ff98910658e,novel
2,815,524,2,82b3dcb707aae47f,reproduction
2,816,488,2,4d3be084d3467d01,reproduction
2,817,,0,9b20ddd5c8a4db5b,novel
2,818,36,1,3ef98e09edbe2a02,reproduction
2,819,432,1,4d3be084d3467d01,reproduction
2,820,,0,6c48f1a35d1f1c35,novel
2,821,,0,2895085816e9533f,novel
2,822,,0,82b3dcb707aae47f,novel
2,823,,0,40c0c668478ecf90,novel
2,824,504,1,40c0c668478ecf90,reproduction
2,825,149,1,c1cc21aa30919ea7,reproduction
2,826,,0,73b8f76a47147e28,novel
2,827,,0,778c93a8b040cf3f,novel
2,828,,0,3476d0a3778e407a,novel
2,829,515,1,ce96487402e28b6e,reproduction
2,830,,0,24d183672c0c5e83,novel
2,831,,0,cc06a8c279e6be19,novel
2,832,487,1,6a54fef28d7b2769,reproduction
2,833,94,1,778c93a8b040cf3f,reproduction
2,834,442,1,619b022425490d44,reproduction
2,835,306,1,acf362504e470f79,reproduction
2,836,,0,778c93a8b040cf3f,novel
2,837,,0,778c93a8b040cf3f,novel
2,838,,0,b88dc6cfd9cff91b,novel
2,839,241,1,40c0c668478ecf90,reproduction
2,840,,0,82b3dcb707aae47f,novel
2,841,,0,82b3dcb707aae47f,novel
3,842,,0,40c0c668478ecf90,novel
3,843,,0,5ea47c5a86529803,novel
3,844,,0,cca1a1ef8f0fb9b7,novel
3,845,,0,4cdc63f03d1956ba,novel
3,846,,0,86984446745fcbec,novel
3,847,600,1,619b022425490d44,reproduction
3,848,94,1,778c93a8b040cf3f,reproduction
3,849,677,1,82b3dcb707aae47f,reproduction
3,850,,0,da929c66eb3e88c1,novel
3,851,,0,da929c66eb3e88c1,novel
3,852,,0,da929c66eb3e88c1,novel
3,853,,0,da929c66eb3e88c1,novel
3,854,601,1,778c93a8b040cf3f,reproduction
3,855,589,1,4d3be084d3467d01,reproduction
3,856,,0,3481767751f4a53d,novel
3,857,,0,adc529f50b79f9ea,novel
3,858,,0,1ee3016ab61a4e11,novel
3,859,,0,8152f9a52351f78a,novel
3,860,,0,82b3dcb707aae47f,novel
3,861,,0,82b3dcb707aae47f,novel
3,862,,0,778c93a8b040cf3f,novel
3,863,,0,778c93a8b040cf3f,novel
3,864,,0,fe2b12daac7ba659,novel
3,865,,0,63dc113099678205,novel
3,866,,0,da929c66eb3e88c1,novel
3,867,,0,13cd3b959532e615,novel
3,868,,0,fc2697c372922a36,novel
3,869,,0,40c0c668478ecf90,novel
3,870,,0,cb3976286ea16de4,novel
3,871,540,1,96a3077112654985,reproduction
3,872,,0,40c0c668478ecf90,novel
3,873,,0,778c93a8b040cf3f,novel
3,874,,0,c8ebdfc8786d6db9,novel
3,875,,0,c3cad67cd0489bef,novel
3,876,,0,2d232d78558b7ec2,novel
3,877,,0,da929c66eb3e88c1,novel
3,878,,0,a93ef66d02de9861,novel
3,879,,0,ec33e5051123522d,novel
3,880,,0,f91f4b55a63dcd35,novel
3,881,,0,55ead2cf65dbb65d,novel
3,882,656,1,67bd5f4d8143d098,reproduction
3,883,,0,d00900ec926a0a46,novel
3,884,,0,778c93a8b040cf3f,novel
3,885,307,1,d00900ec926a0a46,reproduction
3,886,,0,82b3dcb707aae47f,novel
3,887,,0,cb3976286ea16de4,novel
3,888,703,1,160039fa36d62080,reproduction
3,889,,0,50116f0640fbdcbc,novel
3,890,741,1,53662848e67a0c5f,reproduction
3,891,,0,da99824657f004c2,novel
3,892,,0,cfd38954c43d78d6,novel
3,893,,0,4833832cd7e5f7ba,novel
3,894,,0,02a8e72d41024188,novel
3,895,,0,2b3490093257ea3b,novel
3,896,495,1,778c93a8b040cf3f,reproduction
3,897,,0,da929c66eb3e88c1,novel
3,898,391,1,2cbf3fa7d2f5091e,reproduction
3,899,,0,da929c66eb3e88c1,novel
3,900,650,1,778c93a8b040cf3f,reproduction
3,901,,0,40c0c668478ecf90,novel
3,902,,0,bcd21b07e6f7e5b9,novel
3,903,,0,5b5c64e4779d39ba,novel
3,904,,0,dbff9a9fb2ffa5fd,novel
3,905,,0,921576850d665321,novel
3,906,,0,0a481eb844d7ae83,novel
3,907,,0,cb3976286ea16de4,novel
3,908,640,1,778c93a8b040cf3f,reproduction
3,909,281,2,c77dc8e2bbda7a22,reproduction
3,910,12,1,37bc0fe4738210b1,reproduction
3,911,,0,59b79f1e42cb85c8,novel
3,912,817,1,cb3caf756bc369b4,reproduction
3,913,,0,6399fd1dd286a863,novel
3,914,654,1,4d3be084d3467d01,reproduction
3,915,,0,9627240424126360,novel
3,916,,0,49af18ff4a613910,novel
3,917,,0,5bcd0f366a84effd,novel
3,918,,0,fa0d1ea142e8815e,novel
3,919,,0,75635731d2071b31,novel
3,920,,0,181730b3c65ef87e,novel
3,921,,0,40c0c668478ecf90,novel
3,922,415,1,778c93a8b040cf3f,reproduction
