LambLife starting: 50x50 grid, seed=2, ticks=10000
tick=3700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=120812.0/1937104.1 size=11.4/499 age=3696.9/3700 gen=4
tick=3800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=124075.1/1982244.1 size=11.4/499 age=3796.9/3800 gen=4
tick=3900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=127347.6/2033867.7 size=11.4/499 age=3896.9/3900 gen=4
=== Diversity @ tick 4000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=67228.2 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=141272.2 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=55385.1 center=(22,24)
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=137002.5 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=155839.6 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=66042.3 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=169972.5 center=(20,24)
  #8: hash=2c0252c55f91c01e pop=39 avg_energy=79098.0 center=(24,17)
  #9: hash=0a481eb844d7ae83 pop=37 avg_energy=90722.8 center=(27,25)
  #10: hash=c8ebdfc8786d6db9 pop=27 avg_energy=149943.4 center=(26,25)
tick=4000 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=130654.2/2086407.5 size=11.4/499 age=3996.9/4000 gen=4
tick=4100 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=133937.5/2125464.7 size=11.4/499 age=4096.9/4100 gen=4
tick=4200 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=137203.0/2177458.8 size=11.4/499 age=4196.9/4200 gen=4
tick=4300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=140491.2/2241256.2 size=11.4/499 age=4296.9/4300 gen=4
tick=4400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=143768.3/2294278.0 size=11.4/499 age=4396.9/4400 gen=4
tick=4500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=147009.7/2340556.0 size=11.4/499 age=4496.9/4500 gen=4
tick=4600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=150282.0/2386305.5 size=11.4/499 age=4596.9/4600 gen=4
tick=4700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=153538.5/2440913.1 size=11.4/499 age=4696.9/4700 gen=4
tick=4800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=156796.3/2493560.3 size=11.4/499 age=4796.9/4800 gen=4
tick=4900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=160070.2/2546323.1 size=11.4/499 age=4896.9/4900 gen=4
=== Diversity @ tick 5000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=84017.5 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=176575.6 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=69232.9 center=(22,24)
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=171199.2 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=195436.0 center=(27,21)
